Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Description,Acceptance Criteria,Priority,tags
Epic,DevSecOps,,,,New,"This Epic, as created by CSE Core DevOps' packaged sprint, is meant to guide engineers through adding DevSecOps practices to their workflow. In some scenarios third party tooling is required in order to achieve the scenario. We have tried many tools out in these scenarios and our selected tools are simply a recommendation but typically the scenario can be fulfilled with a variety of tools that offer similar functionality and capabilities.",This Epic can be considered complete once the engineering team has create all of the appropriate tooling as decided by the development team. This epic is meant to be suggestive of good DevSecOps practices and depending on the specifics of the project all of the Features will not be a good fit. Those deemed incompatiple by the project team should be closed with reason given during sprint planning cycle when the packaged sprint is added to the project board in Azure DevOps.,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Feature,,Select a workflow for DevSecOps,,,New,Shifting left requires effort from the entire project team. Decisions must be made on the pathway that works best for the team and project.,,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
,,,Decide on Workflow Pattern,,New,As a project team we need to make a choice on what Workflow Pattern best fits with our process and CI strategy. ,,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
,,,,Share the intentions of DevSecOps,New,Review the README file included with the packaged sprint materials with the engineering team and project participants and decide how to Shift Left.,,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
,,,,Prepare ADO,New,Take steps to prepare ADO for implementation of the chosen workflow pattern.,,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
,,,,Close any DevSecOps stories that don't fit,New,During planning search for #DevSecOps and #PackagedSprint to view all of the stories associated with the CSE DevOps Packaged Sprint. If any of the tools or scenarios do not fit with your project (such as not working with the code type) close the story. Be sure to not the reasoning in the discussion area so that your team has a record of why these stories aren't a good fit!,,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Feature,,Credential and Secret Scanning,,,New,Improve security in development process by addiing automated credential scanning into the projects Azure DevOps Project. ,A selection of tools has been added to the projects CI/CD automation to automate the discovery of Credentials in the source code.,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
User Story,,,Add CredScan,,New,"As an engineer I want clear indicators if my code is intoducing passwords or other credential information. This can be accomplished using the CredScan extension included in the <a href=""https://aka.ms/mscadocs"">MSFT Secure Develoment Tools Extension</a>. Details on the scenario of adding the CredScan Extension to AzDo can be found in the CSE-DevSecOps documents <a href=""https://github.com/microsoft/CSEDevSecOps/tree/master/Scenarios/CredentialScanning"">here</a>",Associated tasks are completed in order: <ol><li>Request access to secure development tools</li> <li>Create pipeline for credential scanning</li><li>Review result and initial remediation/suppressions</li><li>Add branch policy for CredScan</li></ol>,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Request access to Secure Development Tools,New,"Ensure that the Secure Development Tools Extension is installed in the organization by following the guidance found here: <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/CredentialScanning/RequestAccessAndInstall.md"">Process Guidance</a>. Once the SDT team has provided access to the extension ensure that it is installed in the organization. The installation requires an AzDO admin.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Create pipeline for credential scanning,New,"Create a pipeline that will add the CredScan tool to AzDO once the extension is installed. A sample pipeline can be found <a href=""https://github.com/microsoft/CSEDevSecOps/tree/master/pipelines/CredScanning"">here</a>. ",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Review results and initial remediation/suppressions,New,"After creating the pipeline an initial run will identify any secrets currently found in the source code and fail the build if any are found. Use the report attached to your build to review those secrets and find those discovered secrets. Although it is highly recommended that no secrets be included in the source code it is possible to add <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/CredentialScanning/Suppressions.md"">suppressions</a> (exclusions) to CredScan that will pass your build while leaving any secrets that the team had decided to leave in the code.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Add branch policy for CredScan,New,"Once CredScan is rolled into a pipeline you should make sure that discovery of secrets is automated in the future. This can be done on <a href=""https://docs.microsoft.com/en-us/azure/devops/repos/git/branch-policies?view=azure-devops"">Azure DevOps</a> as well as <a href=""https://help.github.com/en/github/administering-a-repository/defining-the-mergeability-of-pull-requests"">GitHub</a>",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Feature,,Dependency and Container Scanning,,,New,"When selecting third-party components (both commercial and open source) it’s important to understand the impact that a vulnerability in the component has on the overall security of the system. Software Composition Analysis tools can assist with licensing exposure, provide an accurate inventory of components, and report any vulnerabilities with referenced components. This applies to dependencies at both component and container level. The DevSecOps Packaged Sprint has created stories for adding several of these tools to your CI/CD workflow. Use all of none of the suggested tools as decided by your project team during planning. If the suggested tools don't fit with your project select others as appropriate. <br>Complete guidance provided by the CSE DevOps team can be found <a href=""https://github.com/microsoft/CSEDevSecOps/tree/master/Scenarios/DependencyContainerScanning"">here</a>.",Appropriate tooling and extensions to ensure project standards on third-party tooling has been incorporated into the CI/CD workflow. ,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
User Story,,,Add WhiteSource Code Dependency Scanning,,New,"As an engineer concerned with creating a secure project I understand that identification of vulnerabilities in third-party libraries is of utmost concern and I want to add identification of those vulnerabilities to by CI automation by incorporating WhiteSource into the project. <br> More informaiton on this scenario can be found <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/whitesource/WhiteSource-Dependency.md"">here</a> and through following the tasks attached to this story.","Associated tasks are completed in order: <ol><li>Request or Have Customer Request WhiteSource Account</li><li>Create an ""Admin"" user for WhiteSource</li><li>Create hierarchy in WhiteSource portal</li><li>Link WS & AzDO</li><li>Add WS Configuration to Source</li><li>Configure Azure DevOps for WhiteSource</li></ol>",1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Request or Have Customer Request WhiteSource Account,New,"Before WhiteSource (WS) can be used an account must be created. WhiteSource should be contacted directly. Email <a href=""mailto:ryan.harrington@whitesource.com"">Ryan Harrington</a> with WS to request the account be created. Ryan will work with the project team to set up a trial to get the project moving forward while a billing details are arranged.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,"Create an ""Admin"" user for WhiteSource",New,"In order to complete later steps in the configuration of WhiteSource an ""Admin"" user must be created in WhiteSource. Multilple users can be created and added to the Admin group that already exist in WhiteSource accounts. <br> First <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/whitesource/WhiteSource-Setup.md#add-users"">create a user</a>. Next <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/whitesource/WhiteSource-Setup.md#add-users-to-admin-group"">add the user to that admin group</a>.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Create hierarchy in WhiteSource portal,New,"WhiteSource provides the logical groups of ""Product"" and ""Project"" for configuration. Before the source code scans can be useful for getting the desired feedback to the projects team you will need to <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/whitesource/WhiteSource-Setup.md#add-product"">create at least one product</a>. Once you have the product configured in whitesource you can <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/whitesource/WhiteSource-Setup.md#add-projects"">add projects</a> to it.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Link WS & AzDO,New,"WhiteSource can hook directly into AzDO allowing for breaking builds that do not meet configured <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/whitesource/WhiteSource-Setup.md#shorten-the-feedback-loop--connect-azure-devops-to-whitesource"">policies</a> and automating the creation of task that violate those defined policies.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
Task,,,,Add WS Configuration to Source,New,"Add a config file for whitesource to you source code. The default config file can be <a href=""https://s3.amazonaws.com/unified-agent/wss-unified-agent.config"">downloaded from whitesource</a>. The CSE DevOps teams has included the minimum configuration requirments <a href=""https://github.com/microsoft/CSEDevSecOps/blob/master/Scenarios/DependencyContainerScanning/whitesource/WhiteSource-Dependency.md#minimum-configuration-details"">here</a> to help get the config configured quickly. The sample provided by the CSE team provides details for CSharp/Nuget inclusions but details on other types can be found <a href=""https://whitesource.atlassian.net/wiki/spaces/WD/pages/489160834/Unified+Agent+Configuration+File+Parameters"">here</a>.",,1,#DevSecOps; #PackagedSprint; #CSEDevOps;
